Faculdade;Curso;Turma;Disciplina;Professor
FACHS;FISIOTERAPIA;FISIO-MA3;MÉTODOS DE AVALIAÇÃO CLÍNICA E FUNCIONAL I;PATRICIA JUNDI PENHA
FACHS;FISIOTERAPIA;FISIO-MA3;MÉTODOS DE AVALIAÇÃO CLÍNICA E FUNCIONAL I;PATRICIA JUNDI PENHA
FACHS;FISIOTERAPIA;FISIO-MA3;MÉTODOS DE AVALIAÇÃO CLÍNICA E FUNCIONAL I;PATRICIA JUNDI PENHA
FACHS;FISIOTERAPIA;FISIO-MA3;MÉTODOS DE AVALIAÇÃO CLÍNICA E FUNCIONAL I;PATRICIA JUNDI PENHA
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA3;ANTROPOLOGIA E SAÚDE;ELIANE HOJAIJ GOUVEIA
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA3;ANTROPOLOGIA E SAÚDE;ELIANE HOJAIJ GOUVEIA
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA3;ANTROPOLOGIA E SAÚDE;ELIANE HOJAIJ GOUVEIA
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA3;ANTROPOLOGIA E SAÚDE;ELIANE HOJAIJ GOUVEIA
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA31;ESTUDOS INTERDISCIPLINARES NO CAMPO DA SAÚDE: ATENÇÃO BÁSICA;LUIZ AUGUSTO DE PAULA SOUZA
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA31;ESTUDOS INTERDISCIPLINARES NO CAMPO DA SAÚDE: ATENÇÃO BÁSICA;LUIZ AUGUSTO DE PAULA SOUZA
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA31;ESTUDOS INTERDISCIPLINARES NO CAMPO DA SAÚDE: ATENÇÃO BÁSICA;LUIZ AUGUSTO DE PAULA SOUZA
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA31;ESTUDOS INTERDISCIPLINARES NO CAMPO DA SAÚDE: ATENÇÃO BÁSICA;LUIZ AUGUSTO DE PAULA SOUZA
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA31;ESTUDOS INTERDISCIPLINARES NO CAMPO DA SAÚDE: ATENÇÃO BÁSICA;LUIZ AUGUSTO DE PAULA SOUZA
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA31;ESTUDOS INTERDISCIPLINARES NO CAMPO DA SAÚDE: ATENÇÃO BÁSICA;LUIZ AUGUSTO DE PAULA SOUZA
FACHS;FISIOTERAPIA;FISIO-MA5;CINESIOTERAPIA;FABIO JORGE RENOVATO FRANCA
FACHS;FISIOTERAPIA;FISIO-MA5;CINESIOTERAPIA;FABIO JORGE RENOVATO FRANCA
FACHS;FISIOTERAPIA;FISIO-MA5;CINESIOTERAPIA;FABIO JORGE RENOVATO FRANCA
FACHS;FISIOTERAPIA;FISIO-MA5;CINESIOTERAPIA;FABIO JORGE RENOVATO FRANCA
FACHS;FISIOTERAPIA;FISIO-MA5;ELETRO-TERMO-FOTOTERAPIA;FABIO JORGE RENOVATO FRANCA
FACHS;FISIOTERAPIA;FISIO-MA5;ELETRO-TERMO-FOTOTERAPIA;FABIO JORGE RENOVATO FRANCA
FACHS;FISIOTERAPIA;FISIO-MA5;ELETRO-TERMO-FOTOTERAPIA;FABIO JORGE RENOVATO FRANCA
FACHS;FISIOTERAPIA;FISIO-MA5;ELETRO-TERMO-FOTOTERAPIA;FABIO JORGE RENOVATO FRANCA
FACHS;FISIOTERAPIA;FISIO-MA5;ELETRO-TERMO-FOTOTERAPIA;FABIO JORGE RENOVATO FRANCA
FACHS;FISIOTERAPIA;FISIO-MA5;ELETRO-TERMO-FOTOTERAPIA;FABIO JORGE RENOVATO FRANCA
